Gene,Diverse_LOF,Nfe_43k_LOF,Nfe_440k_LOF,All_LOF,afr_LOF,asj_LOF,eas_LOF,sas_LOF,nfe_20k_LOF,possible_lof,mu_mis,mu_syn,mu_lof,total_var,LOF_FDR_Diverse43k,LOF_FDR_NFE43k,LOF_FDR_NFE440k,LOF_FDR_FullDataset,LOF_FDR_AFR,LOF_FDR_ASJ,LOF_FDR_EAS,LOF_FDR_SAS,LOF_FDR_NFE20k
A1BG,15,9,48,55,3,1,2,5,5,209,1.88E-05,9.20E-06,9.13E-07,691,0.317539591,0.190523754,1.01612669,1.164311833,0.063507918,0.021169306,0.042338612,0.10584653,0.10584653
A1BG-AS1,2,1,3,4,1,0,0,1,0,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1CF,10,4,49,50,2,0,0,0,8,362,1.59E-05,6.33E-06,2.11E-06,593,0.095878988,0.038351595,0.469807043,0.479394942,0.019175798,0,0,0,0.076703191
A2M,33,16,103,118,11,2,4,6,15,963,4.04E-05,1.70E-05,4.03E-06,1246,0.194395472,0.09425235,0.606749503,0.695111081,0.064798491,0.011781544,0.023563087,0.035344631,0.088361578
A2ML1,78,45,141,182,26,5,7,28,28,960,4.14E-05,1.77E-05,3.97E-06,1577,0.376675511,0.217312795,0.680913424,0.878909526,0.125558504,0.024145866,0.033804213,0.13521685,0.13521685
A3GALT2,23,13,40,50,7,1,3,11,8,134,1.10E-05,5.55E-06,5.14E-07,551,0.638738939,0.361026357,1.110850329,1.388562911,0.194398807,0.027771258,0.083313775,0.30548384,0.222170066
A4GALT,11,9,45,48,2,1,1,2,7,90,1.76E-05,9.28E-06,3.72E-07,516,0.706700098,0.578209171,2.891045855,3.083782245,0.128490927,0.064245463,0.064245463,0.128490927,0.449718244
A4GNT,8,3,13,16,2,2,1,1,5,131,1.01E-05,4.02E-06,4.48E-07,324,0.369857874,0.138696703,0.601019046,0.739715748,0.092464469,0.092464469,0.046232234,0.046232234,0.231161171
AAAS,28,25,81,90,6,0,1,9,17,341,1.75E-05,6.18E-06,2.24E-06,588,0.27058615,0.241594777,0.782767076,0.869741196,0.057982746,0,0.009663791,0.08697412,0.164284448
AACS,20,19,67,78,6,0,5,4,7,432,2.41E-05,1.21E-05,1.63E-06,773,0.281769527,0.267681051,0.943927917,1.098901157,0.084530858,0,0.070442382,0.056353905,0.098619335
AADAC,17,10,31,40,3,0,1,9,4,181,1.06E-05,4.29E-06,5.24E-07,385,0.601317465,0.353716156,1.096520083,1.414864623,0.106114847,0,0.035371616,0.31834454,0.141486462
AADACL2,16,12,37,44,4,0,6,7,6,115,1.05E-05,3.87E-06,8.42E-07,385,0.356919673,0.267689755,0.825376745,0.981529102,0.089229918,0,0.133844878,0.156152357,0.133844878
