"Gene","Diverse_LOF_SNV","Nfe_43k_LOF_SNV","Nfe_440k_LOF_SNV","All_LOF_SNV","afr_LOF_SNV","asj_LOF_SNV","eas_LOF_SNV","sas_LOF_SNV","nfe_20k_LOF_SNV","possible_lof","mu_mis","mu_syn","mu_lof","LOF_OE_Diverse43k","LOF_OE_NFE43k","LOF_OE_NFE440k","LOF_OE_FullDataset","LOF_OE_AFR","LOF_OE_ASJ","LOF_OE_EAS","LOF_OE_SAS","LOF_OE_NFE20k"
"A1BG",8,3,21,26,1,0,1,4,2,209,1.8787e-05,9.2037e-06,9.1285e-07,0.0382775119617225,0.0143540669856459,0.100478468899522,0.124401913875598,0.00478468899521531,0,0.00478468899521531,0.0191387559808612,0.00956937799043062
"A1BG-AS1",2,1,3,4,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1CF",5,2,23,24,1,0,0,0,4,362,1.5919e-05,6.326e-06,2.11e-06,0.0138121546961326,0.00552486187845304,0.06353591160221,0.0662983425414365,0.00276243093922652,0,0,0,0.0110497237569061
"A2M",18,14,62,68,6,1,1,2,9,963,4.0409e-05,1.7021e-05,4.026e-06,0.0186915887850467,0.0145379023883697,0.0643821391484943,0.0706126687435099,0.00623052959501558,0.00103842159916926,0.00103842159916926,0.00207684319833853,0.00934579439252336
"A2ML1",46,28,85,107,16,3,2,13,17,960,4.1418e-05,1.7728e-05,3.9735e-06,0.0479166666666667,0.0291666666666667,0.0885416666666667,0.111458333333333,0.0166666666666667,0.003125,0.00208333333333333,0.0135416666666667,0.0177083333333333
"A3GALT2",8,4,14,19,1,0,2,5,2,134,1.0999e-05,5.5483e-06,5.1422e-07,0.0597014925373134,0.0298507462686567,0.104477611940299,0.141791044776119,0.00746268656716418,0,0.0149253731343284,0.0373134328358209,0.0149253731343284
"A4GALT",3,1,9,10,0,1,1,0,1,90,1.7604e-05,9.2844e-06,3.717e-07,0.0333333333333333,0.0111111111111111,0.1,0.111111111111111,0,0.0111111111111111,0.0111111111111111,0,0.0111111111111111
"A4GNT",4,2,7,8,1,1,1,1,3,131,1.0058e-05,4.0249e-06,4.4774e-07,0.0305343511450382,0.0152671755725191,0.0534351145038168,0.0610687022900763,0.00763358778625954,0.00763358778625954,0.00763358778625954,0.00763358778625954,0.0229007633587786
"AAAS",20,15,45,51,3,0,1,7,12,341,1.7472e-05,6.1753e-06,2.2446e-06,0.0586510263929619,0.0439882697947214,0.131964809384164,0.149560117302053,0.00879765395894428,0,0.00293255131964809,0.0205278592375367,0.0351906158357771
"AACS",11,10,37,42,3,0,3,2,4,432,2.4112e-05,1.2072e-05,1.626e-06,0.025462962962963,0.0231481481481481,0.0856481481481482,0.0972222222222222,0.00694444444444444,0,0.00694444444444444,0.00462962962962963,0.00925925925925926
"AADAC",9,5,10,15,2,0,0,4,2,181,1.0585e-05,4.2883e-06,5.2388e-07,0.0497237569060773,0.0276243093922652,0.0552486187845304,0.0828729281767956,0.0110497237569061,0,0,0.0220994475138122,0.0110497237569061
"AADACL2",10,7,21,24,3,0,3,5,5,115,1.0513e-05,3.8666e-06,8.422e-07,0.0869565217391304,0.0608695652173913,0.182608695652174,0.208695652173913,0.0260869565217391,0,0.0260869565217391,0.0434782608695652,0.0434782608695652
"AADACL3",5,3,10,13,0,0,0,3,2,54,1.088e-05,4.6783e-06,1.7009e-07,0.0925925925925926,0.0555555555555556,0.185185185185185,0.240740740740741,0,0,0,0.0555555555555556,0.037037037037037
"AADACL4",5,2,10,13,1,0,1,0,2,73,1.4015e-05,5.6517e-06,3.6803e-07,0.0684931506849315,0.0273972602739726,0.136986301369863,0.178082191780822,0.0136986301369863,0,0.0136986301369863,0,0.0273972602739726
"AADAT",5,2,15,17,1,0,0,1,3,298,1.0589e-05,3.8187e-06,9.8364e-07,0.0167785234899329,0.00671140939597315,0.0503355704697987,0.0570469798657718,0.00335570469798658,0,0,0.00335570469798658,0.0100671140939597
"AAED1",12,7,20,25,6,0,1,2,6,125,4.2184e-06,1.524e-06,3.6557e-07,0.096,0.056,0.16,0.2,0.048,0,0.008,0.016,0.048
"AAGAB",11,5,25,26,4,0,0,3,7,223,7.7312e-06,3.0124e-06,1.0214e-06,0.0493273542600897,0.0224215246636771,0.112107623318386,0.116591928251121,0.0179372197309417,0,0,0.0134529147982063,0.031390134529148
"AAK1",5,9,40,40,0,0,0,0,5,544,2.5828e-05,1.026e-05,2.2369e-06,0.00919117647058824,0.0165441176470588,0.0735294117647059,0.0735294117647059,0,0,0,0,0.00919117647058824
"AAMDC",3,2,8,10,2,0,1,2,0,73,3.1422e-06,9.7069e-07,3.7921e-07,0.0410958904109589,0.0273972602739726,0.10958904109589,0.136986301369863,0.0273972602739726,0,0.0136986301369863,0.0273972602739726,0
"AAMP",5,3,16,17,1,0,0,1,3,248,1.4048e-05,6.1218e-06,1.0407e-06,0.0201612903225806,0.0120967741935484,0.0645161290322581,0.0685483870967742,0.00403225806451613,0,0,0.00403225806451613,0.0120967741935484
"AANAT",5,4,11,14,2,0,0,3,1,99,1.0514e-05,4.3533e-06,3.6482e-07,0.0505050505050505,0.0404040404040404,0.111111111111111,0.141414141414141,0.0202020202020202,0,0,0.0303030303030303,0.0101010101010101
"AAR2",9,3,14,20,4,1,0,2,2,135,1.3503e-05,5.5204e-06,5.6961e-07,0.0666666666666667,0.0222222222222222,0.103703703703704,0.148148148148148,0.0296296296296296,0.00740740740740741,0,0.0148148148148148,0.0148148148148148
"AARD",2,2,7,8,1,0,0,0,1,46,3.7963e-06,1.9197e-06,1.917e-07,0.0434782608695652,0.0434782608695652,0.152173913043478,0.173913043478261,0.0217391304347826,0,0,0,0.0217391304347826
"AARS",7,8,43,45,0,0,2,2,3,541,3.3291e-05,1.3558e-05,3.3544e-06,0.0129390018484288,0.0147874306839187,0.0794824399260629,0.0831792975970425,0,0,0.00369685767097967,0.00369685767097967,0.0055452865064695
"AARS2",18,17,51,54,5,1,1,6,9,547,3.6293e-05,1.3365e-05,3.4494e-06,0.0329067641681901,0.0310786106032907,0.093235831809872,0.0987202925045704,0.00914076782449726,0.00182815356489945,0.00182815356489945,0.0109689213893967,0.0164533820840951
"AARSD1",6,1,7,10,2,0,0,4,1,253,1.355e-05,4.8524e-06,1.0222e-06,0.0237154150197628,0.00395256916996047,0.0276679841897233,0.0395256916996047,0.00790513833992095,0,0,0.0158102766798419,0.00395256916996047
"AASDH",16,12,54,61,3,1,2,2,8,645,2.6257e-05,1.0306e-05,2.2688e-06,0.0248062015503876,0.0186046511627907,0.0837209302325581,0.0945736434108527,0.00465116279069767,0.00155038759689922,0.00310077519379845,0.00310077519379845,0.0124031007751938
"AASDHPPT",4,2,13,14,1,0,0,0,3,175,8.3189e-06,2.6933e-06,6.2563e-07,0.0228571428571429,0.0114285714285714,0.0742857142857143,0.08,0.00571428571428571,0,0,0,0.0171428571428571
"AASS",17,13,38,46,1,0,1,7,8,635,2.667e-05,9.6047e-06,1.9158e-06,0.0267716535433071,0.0204724409448819,0.0598425196850394,0.0724409448818898,0.0015748031496063,0,0.0015748031496063,0.0110236220472441,0.0125984251968504
"AATF",14,8,32,36,5,1,0,1,9,336,1.6213e-05,6.6653e-06,1.6373e-06,0.0416666666666667,0.0238095238095238,0.0952380952380952,0.107142857142857,0.0148809523809524,0.00297619047619048,0,0.00297619047619048,0.0267857142857143
"AATK",12,9,56,60,4,0,1,5,4,521,5.0068e-05,2.873e-05,2.1087e-06,0.0230326295585413,0.017274472168906,0.107485604606526,0.115163147792706,0.00767754318618042,0,0.00191938579654511,0.00959692898272553,0.00767754318618042
