"Gene","x","afr_y","amr_y","asj_y","eas_y","fin_y","nfe_y","sas_y","mutability","rvis_afr","rvis_eas","rvis_asj","rvis_nfe","rvis_sas","rvis_amr","rvis_fin"
"A1BG",483,12,4,3,4,5,3,5,3.00446125e-05,0.254556751357908,-0.241273256436849,-0.294759347562721,-0.253602272438417,-0.191821503184147,-0.303441885948295,0.128624416599436
"A1CF",440,4,6,3,2,1,3,2,2.69925e-05,-0.298504706596531,-0.433411431524811,-0.221399211234625,-0.186692978935871,-0.478921183261348,-0.000431210260627569,-0.466304268610387
"A2M",941,19,8,9,11,9,6,11,6.64885e-05,-0.0270506089140043,-0.228124949951698,-0.3185285816529,-0.642275833784716,-0.436172851509132,-0.748025986667343,-0.0438465051269848
"A2ML1",1218,41,30,16,15,14,23,22,6.8086375e-05,1.64808915829572,0.27150257000268,0.637347962918792,1.64789770983032,0.875406052498564,1.71691984990014,0.750814104945152
"A3GALT2",293,17,12,8,6,8,9,9,1.7704295e-05,0.923197118320375,0.344807642875605,0.712027905282373,0.837523331317806,0.633698755266505,0.911877358414762,0.911048016770901
"A4GALT",403,6,2,3,3,1,1,4,2.7724725e-05,-0.159540819236211,-0.317025211052843,-0.238998834498014,-0.476274310980101,-0.252380494606259,-0.47381290021391,-0.483132215982894
"A4GNT",280,7,7,3,3,5,5,7,1.5090315e-05,0.204622885126887,0.00633093381862091,0.0646790826369776,0.347758884943403,0.45792397923227,0.407276311815554,0.472302552414264
"AAAS",471,4,5,3,2,4,1,2,2.869765e-05,-0.337155348870171,-0.477052402398727,-0.262383906233209,-0.49760336156087,-0.524924822815339,-0.156358304771902,-0.00668741339858003
"AACS",597,9,9,7,8,2,2,5,3.98425e-05,-0.200872515737967,0.0484673997520563,0.0378751686243731,-0.605164525270091,-0.456159919669562,0.0237619614059445,-0.59535529392006
"AADAC",306,4,4,2,7,4,2,4,1.605203e-05,-0.0505184023585059,0.52222314302004,-0.100470496966422,-0.0836173303873255,0.0625345222282507,0.0420522266868046,0.283930464166041
"AADACL2",323,3,2,7,6,2,2,5,1.627455e-05,-0.13334288091804,0.381400284246391,0.604356154428804,-0.0884954692839632,0.179678201617045,-0.19109293780931,-0.0537195895087041
"AADACL3",347,13,7,4,2,2,4,5,1.59410025e-05,0.652030909308395,-0.15056659861971,0.186266111511065,0.192344763609791,0.188676991289091,0.386271234884321,-0.0460541256817318
"AADACL4",390,4,2,3,5,3,2,7,2.04947675e-05,-0.151221333255915,0.138263664047852,-0.0652213203386419,-0.181012020073686,0.312115302294333,-0.295295240057741,0.015560562953594
"AADAT",199,1,1,1,1,1,1,1,1.662089e-05,-0.296755061310325,-0.303093190664274,-0.256177712040759,-0.232852221770996,-0.322254088287345,-0.31347039667965,-0.227947071211754
"AAED1",119,1,3,3,3,0,5,9,6.5649325e-06,-0.0688174255389789,0.224526301206387,0.269596723243856,0.534662517268305,0.934249864745813,0.162477027739435,-0.163113709002228
"AAGAB",293,6,4,5,3,2,5,4,1.304175e-05,0.173277160374759,0.0587606877717975,0.39798835918711,0.392669319625769,0.143748782560169,0.116380194698867,0.0205755583198751
"AAK1",561,9,6,7,10,7,6,8,4.1121025e-05,-0.229853048965342,0.285997385524731,0.00714478094951627,-0.0861315577403347,-0.121210238848122,-0.349283702004208,0.206606463067713
"AAMDC",112,2,1,1,2,1,2,3,4.9661125e-06,0.0452046873521676,0.130319095381794,0.0239551735500764,0.159413411075309,0.238475829405672,-0.0256987024476514,0.039899711545937
"AAMP",288,3,4,1,3,0,1,1,2.2511375e-05,-0.274712147420983,-0.183598289110858,-0.397760375811962,-0.361984967615103,-0.481173034781525,-0.117436877187634,-0.529589837042308
"AANAT",244,8,2,3,6,1,3,6,1.5688145e-05,0.26885271626094,0.396408686550962,0.0503097047118204,0.061123852321436,0.31864642341926,-0.176613889182211,-0.206511110111135
